reward,episode_length,success
44.0,44,0
50.0,50,0
15.0,15,0
15.0,15,0
25.0,25,0
12.0,12,0
24.0,24,0
14.0,14,0
19.0,19,0
38.0,38,0
18.0,18,0
34.0,34,0
12.0,12,0
21.0,21,0
30.0,30,0
12.0,12,0
29.0,29,0
35.0,35,0
13.0,13,0
10.0,10,0
20.0,20,0
34.0,34,0
35.0,35,0
24.0,24,0
18.0,18,0
21.0,21,0
11.0,11,0
14.0,14,0
35.0,35,0
13.0,13,0
21.0,21,0
17.0,17,0
28.0,28,0
10.0,10,0
13.0,13,0
31.0,31,0
11.0,11,0
21.0,21,0
17.0,17,0
20.0,20,0
50.0,50,0
34.0,34,0
45.0,45,0
14.0,14,0
11.0,11,0
16.0,16,0
30.0,30,0
45.0,45,0
10.0,10,0
13.0,13,0
13.0,13,0
11.0,11,0
11.0,11,0
16.0,16,0
19.0,19,0
35.0,35,0
21.0,21,0
17.0,17,0
13.0,13,0
30.0,30,0
38.0,38,0
28.0,28,0
16.0,16,0
12.0,12,0
19.0,19,0
14.0,14,0
11.0,11,0
25.0,25,0
19.0,19,0
16.0,16,0
14.0,14,0
56.0,56,0
16.0,16,0
15.0,15,0
23.0,23,0
13.0,13,0
14.0,14,0
11.0,11,0
22.0,22,0
30.0,30,0
23.0,23,0
17.0,17,0
19.0,19,0
9.0,9,0
30.0,30,0
11.0,11,0
13.0,13,0
10.0,10,0
15.0,15,0
32.0,32,0
22.0,22,0
25.0,25,0
16.0,16,0
35.0,35,0
18.0,18,0
19.0,19,0
24.0,24,0
31.0,31,0
13.0,13,0
15.0,15,0
16.0,16,0
50.0,50,0
13.0,13,0
14.0,14,0
18.0,18,0
40.0,40,0
16.0,16,0
16.0,16,0
16.0,16,0
22.0,22,0
11.0,11,0
12.0,12,0
19.0,19,0
15.0,15,0
19.0,19,0
29.0,29,0
24.0,24,0
79.0,79,0
53.0,53,0
11.0,11,0
10.0,10,0
19.0,19,0
16.0,16,0
43.0,43,0
16.0,16,0
35.0,35,0
13.0,13,0
19.0,19,0
23.0,23,0
20.0,20,0
86.0,86,0
58.0,58,0
25.0,25,0
33.0,33,0
15.0,15,0
23.0,23,0
23.0,23,0
29.0,29,0
23.0,23,0
42.0,42,0
14.0,14,0
11.0,11,0
16.0,16,0
18.0,18,0
23.0,23,0
22.0,22,0
17.0,17,0
26.0,26,0
70.0,70,0
20.0,20,0
22.0,22,0
10.0,10,0
13.0,13,0
16.0,16,0
34.0,34,0
26.0,26,0
33.0,33,0
13.0,13,0
23.0,23,0
18.0,18,0
22.0,22,0
32.0,32,0
11.0,11,0
16.0,16,0
18.0,18,0
14.0,14,0
18.0,18,0
11.0,11,0
11.0,11,0
20.0,20,0
15.0,15,0
25.0,25,0
35.0,35,0
27.0,27,0
51.0,51,0
25.0,25,0
23.0,23,0
21.0,21,0
12.0,12,0
12.0,12,0
33.0,33,0
23.0,23,0
20.0,20,0
13.0,13,0
8.0,8,0
16.0,16,0
21.0,21,0
25.0,25,0
29.0,29,0
16.0,16,0
21.0,21,0
12.0,12,0
23.0,23,0
29.0,29,0
18.0,18,0
18.0,18,0
16.0,16,0
10.0,10,0
14.0,14,0
37.0,37,0
16.0,16,0
10.0,10,0
17.0,17,0
25.0,25,0
40.0,40,0
24.0,24,0
31.0,31,0
11.0,11,0
10.0,10,0
28.0,28,0
19.0,19,0
27.0,27,0
20.0,20,0
13.0,13,0
12.0,12,0
15.0,15,0
11.0,11,0
27.0,27,0
16.0,16,0
16.0,16,0
18.0,18,0
25.0,25,0
20.0,20,0
25.0,25,0
16.0,16,0
10.0,10,0
31.0,31,0
11.0,11,0
26.0,26,0
33.0,33,0
20.0,20,0
12.0,12,0
18.0,18,0
29.0,29,0
30.0,30,0
48.0,48,0
15.0,15,0
28.0,28,0
24.0,24,0
38.0,38,0
15.0,15,0
20.0,20,0
17.0,17,0
10.0,10,0
21.0,21,0
61.0,61,0
12.0,12,0
26.0,26,0
14.0,14,0
18.0,18,0
10.0,10,0
38.0,38,0
30.0,30,0
37.0,37,0
10.0,10,0
17.0,17,0
23.0,23,0
36.0,36,0
35.0,35,0
34.0,34,0
26.0,26,0
21.0,21,0
32.0,32,0
13.0,13,0
10.0,10,0
10.0,10,0
20.0,20,0
25.0,25,0
28.0,28,0
14.0,14,0
12.0,12,0
20.0,20,0
18.0,18,0
15.0,15,0
17.0,17,0
17.0,17,0
33.0,33,0
26.0,26,0
21.0,21,0
13.0,13,0
17.0,17,0
30.0,30,0
43.0,43,0
27.0,27,0
40.0,40,0
24.0,24,0
79.0,79,0
14.0,14,0
35.0,35,0
10.0,10,0
20.0,20,0
15.0,15,0
14.0,14,0
16.0,16,0
46.0,46,0
24.0,24,0
58.0,58,0
18.0,18,0
22.0,22,0
36.0,36,0
12.0,12,0
14.0,14,0
30.0,30,0
12.0,12,0
45.0,45,0
10.0,10,0
40.0,40,0
26.0,26,0
22.0,22,0
16.0,16,0
22.0,22,0
31.0,31,0
13.0,13,0
12.0,12,0
34.0,34,0
27.0,27,0
17.0,17,0
13.0,13,0
14.0,14,0
27.0,27,0
18.0,18,0
16.0,16,0
10.0,10,0
19.0,19,0
16.0,16,0
25.0,25,0
23.0,23,0
60.0,60,0
20.0,20,0
24.0,24,0
19.0,19,0
12.0,12,0
39.0,39,0
18.0,18,0
23.0,23,0
41.0,41,0
23.0,23,0
18.0,18,0
18.0,18,0
9.0,9,0
24.0,24,0
17.0,17,0
10.0,10,0
22.0,22,0
12.0,12,0
22.0,22,0
39.0,39,0
51.0,51,0
10.0,10,0
23.0,23,0
31.0,31,0
25.0,25,0
34.0,34,0
19.0,19,0
13.0,13,0
34.0,34,0
10.0,10,0
13.0,13,0
16.0,16,0
13.0,13,0
31.0,31,0
15.0,15,0
15.0,15,0
34.0,34,0
15.0,15,0
18.0,18,0
57.0,57,0
14.0,14,0
16.0,16,0
25.0,25,0
22.0,22,0
19.0,19,0
17.0,17,0
15.0,15,0
14.0,14,0
25.0,25,0
13.0,13,0
28.0,28,0
15.0,15,0
13.0,13,0
22.0,22,0
33.0,33,0
26.0,26,0
16.0,16,0
11.0,11,0
30.0,30,0
19.0,19,0
17.0,17,0
19.0,19,0
14.0,14,0
25.0,25,0
25.0,25,0
15.0,15,0
23.0,23,0
20.0,20,0
32.0,32,0
32.0,32,0
20.0,20,0
17.0,17,0
19.0,19,0
12.0,12,0
17.0,17,0
27.0,27,0
31.0,31,0
22.0,22,0
14.0,14,0
37.0,37,0
11.0,11,0
14.0,14,0
33.0,33,0
9.0,9,0
15.0,15,0
19.0,19,0
19.0,19,0
41.0,41,0
22.0,22,0
20.0,20,0
14.0,14,0
10.0,10,0
13.0,13,0
14.0,14,0
22.0,22,0
29.0,29,0
20.0,20,0
16.0,16,0
33.0,33,0
17.0,17,0
15.0,15,0
18.0,18,0
12.0,12,0
13.0,13,0
14.0,14,0
15.0,15,0
19.0,19,0
15.0,15,0
27.0,27,0
36.0,36,0
17.0,17,0
53.0,53,0
13.0,13,0
10.0,10,0
12.0,12,0
14.0,14,0
22.0,22,0
30.0,30,0
22.0,22,0
17.0,17,0
20.0,20,0
16.0,16,0
23.0,23,0
42.0,42,0
11.0,11,0
16.0,16,0
30.0,30,0
53.0,53,0
17.0,17,0
13.0,13,0
34.0,34,0
37.0,37,0
43.0,43,0
18.0,18,0
31.0,31,0
26.0,26,0
21.0,21,0
17.0,17,0
14.0,14,0
30.0,30,0
14.0,14,0
19.0,19,0
27.0,27,0
11.0,11,0
22.0,22,0
10.0,10,0
17.0,17,0
16.0,16,0
42.0,42,0
50.0,50,0
18.0,18,0
30.0,30,0
19.0,19,0
39.0,39,0
15.0,15,0
21.0,21,0
17.0,17,0
12.0,12,0
16.0,16,0
20.0,20,0
23.0,23,0
13.0,13,0
48.0,48,0
10.0,10,0
12.0,12,0
39.0,39,0
20.0,20,0
32.0,32,0
39.0,39,0
41.0,41,0
19.0,19,0
41.0,41,0
22.0,22,0
