reward,final_angle_error,mean_abs_angular_velocity,quality_flag
-1251.3721088345656,2.2450122833251953,3.266963248575339,0
-1194.9980553318126,2.439814805984497,3.23641547260806,0
-1342.7010523605975,1.9605095386505127,2.574352044966072,0
-1150.6933010616779,1.8954986333847046,3.603877643495798,0
-1481.7888677522735,2.0814208984375,1.9707694653701038,0
-1283.0947307384843,1.7853035926818848,3.040148415397853,0
-756.1811447081916,0.23886112868785858,3.5147329610888844,0
-986.0331959683424,0.4481978118419647,4.051051497878507,0
-1200.6307186235283,2.573566198348999,3.2887270743772388,0
-1744.9406301014515,2.6207499504089355,0.8452721255971118,0
-895.6337195404434,0.8067528605461121,4.195351963602007,0
-1822.5623246446708,2.972968339920044,0.47792639027931727,0
-1296.781544459518,2.131032943725586,2.910167824840173,0
-1312.8874617575345,2.695551872253418,2.865698716249317,0
-1062.8848247781411,1.5122063159942627,3.6929977729544046,0
-1074.480624236551,1.752561092376709,3.457139736227691,0
-962.7264856782622,1.6994277238845825,3.9134203362837434,0
-868.2773895413866,1.1867632865905762,3.6729941852367483,0
-1163.3465571718843,1.5676655769348145,3.65639204670093,0
-982.0750251946853,2.0615782737731934,3.8326853815838695,0
-907.5919687526658,0.4258712828159332,4.335409297123551,0
-968.7503692067961,0.846660315990448,3.8622735255025327,0
-1515.3475789332451,2.13635516166687,1.7972038729954511,0
-1872.9161155897634,2.9041309356689453,0.3368270010259585,0
-1485.0634103604748,2.5665030479431152,1.9339777447655797,0
-878.4292987521874,0.9885748624801636,4.109872711151838,0
-898.7274992434493,0.632314145565033,4.282524532992393,0
-962.0209652294161,1.4976222515106201,3.785912899971008,0
-970.4184336900705,2.373448371887207,4.3289799053221945,0
-1421.3939779703114,2.7731056213378906,2.1727548666996883,0
-1623.3109396396205,3.138376474380493,1.3270147342653944,0
-860.2601103216759,1.1170856952667236,3.740060161971487,0
-1533.412953856268,3.0297391414642334,1.5857166263982072,0
-1254.8893233176307,2.34220290184021,3.1771127356262876,0
-1414.9049612006202,2.929961681365967,2.2358379626646636,0
-1180.264720857511,1.4591493606567383,3.279847565982491,0
-867.1522997830348,1.0497056245803833,3.7646018613129852,0
-1582.270651626368,2.2449655532836914,1.4794499189406634,0
-969.4033012121923,0.15350860357284546,3.5996839837776498,0
-1040.9672411818522,0.5528063178062439,4.837490633763373,0
-1647.767851248152,2.5911669731140137,1.2417140696197748,0
-996.7300377653291,0.06489646434783936,4.1655576852010565,0
-1168.0205742015714,0.7198532819747925,3.600230764662847,0
-1697.2605033223538,2.6052956581115723,1.0257611091504806,0
-1137.410709055241,2.355536460876465,3.668081746548414,0
-901.1123572516832,0.8846773505210876,4.255195566676557,0
-1084.3617880513045,1.2584631443023682,3.819853411670774,0
-1029.0189039970614,2.090214729309082,4.296204224806279,0
-1231.6960246666085,2.9642531871795654,3.2419178518420084,0
-1227.5426998148484,3.07977557182312,3.1799937659781428,0
-968.4883572753323,1.3767056465148926,3.6258916252851487,0
-1773.8121142141883,2.9422779083251953,0.6478055935155135,0
-1281.2904778262732,2.000175952911377,3.01100031837821,0
-767.7622983329697,2.0797109603881836,3.5046932866005225,0
-1261.177887944678,2.310584783554077,3.155961116682738,0
-938.1906374048077,2.3840668201446533,3.850288791693747,0
-1506.9877122155801,2.447157144546509,1.791257252804935,0
-884.8552231022604,1.6783214807510376,3.8604180865362285,0
-1219.8740540412928,2.685605049133301,3.1440746518503873,0
-1580.0090133902147,2.8009841442108154,1.4304977965913712,0
-1460.483405911151,2.411463737487793,2.0761892116256058,0
-982.9119666743875,1.973939299583435,3.748817457780242,0
-1426.6570901896011,2.636646270751953,2.2473344734311103,0
-895.1053063155385,2.216560125350952,3.9551126875169573,0
-1682.674093046582,2.673914909362793,1.0536994094774128,0
-758.1624434022674,0.0022694398649036884,3.611946031106636,0
-1445.5455565000675,2.929652690887451,1.9947906912770121,0
-743.9764302651524,1.0012145042419434,3.429892311906442,0
-1744.1862012384343,2.9452381134033203,0.8357151175709441,0
-1332.3580852075884,1.7439985275268555,2.6183038988965563,0
-1600.399791131476,2.3413398265838623,1.3756710642110557,0
-1635.9779648580966,2.949958086013794,1.1660919680586084,0
-1003.5884434967877,2.02908992767334,3.9429798992350698,0
-1278.363956875067,2.26090931892395,2.966483017578721,0
-1578.601593886999,3.0240321159362793,1.5127171498234384,0
-1638.3065359707384,3.114513397216797,1.2455709945363924,0
-1639.9937413400246,2.7789466381073,1.2801556592341512,0
-1781.4387926497857,3.1377501487731934,0.700296132043004,0
-1347.9115924233242,2.460292339324951,2.479212486483157,0
-1168.5042358031947,1.8404666185379028,3.481527656971011,0
-1157.8246766807515,2.077684164047241,3.568237390238792,0
-1074.6360521797267,1.3716721534729004,3.688462145654485,0
-1219.9283720383285,3.13065242767334,3.2463002767041327,0
-1344.2445481575571,2.3115177154541016,2.5075122848246245,0
-1700.4226393266654,2.611298084259033,1.0246248734602705,0
-1596.3346914059475,2.6005382537841797,1.4836854358226992,0
-882.5775431776021,1.0222499370574951,3.935972142368555,0
-775.8704492661661,1.200053334236145,3.7604227349080612,0
-877.7540956420565,2.1203975677490234,3.680318033574149,0
-972.61847494979,1.504819631576538,3.9350176763767375,0
-1341.176600624593,2.5373284816741943,2.5577090072166175,0
-1608.2876974922128,2.6865599155426025,1.3181796506838872,0
-1698.8663059800638,2.9664580821990967,0.9002811677008867,0
-844.1831539586065,1.9847201108932495,3.72519412022084,0
-1460.954935225084,2.3230669498443604,2.086920060208067,0
-1426.9316931838387,2.1814188957214355,2.3300048097397665,0
-970.7204968331351,0.44310447573661804,3.6494887360185384,0
-1050.496245444874,1.924153208732605,3.7839153345674275,0
-1202.7725428403144,2.664154052734375,3.2637549943779596,0
-920.6161043688512,2.9343960285186768,4.0886998367495835,0
-1775.716866996329,2.9670839309692383,0.7741134823742323,0
-1086.155821605072,2.110546112060547,3.379858449806925,0
-1075.376601724359,1.5468456745147705,3.4072869927762075,0
-763.0886004682955,0.5385922789573669,3.5026377561705884,0
-851.7878221514409,1.4118444919586182,3.271897003352642,0
-1602.5464455437352,2.3791749477386475,1.537853221956175,0
-859.9336394145406,0.4760484993457794,3.6179960844293237,0
-1553.2699352095285,2.9013216495513916,1.6031667022756302,0
-1627.5516578601582,2.301098346710205,1.316282198545523,0
-972.2654155668763,1.8818775415420532,3.491630086582154,0
-1384.9941911211406,2.864879608154297,2.4861029761005193,0
-1371.4725560177023,2.64715838432312,2.390606959760189,0
-762.1243005086334,1.4067816734313965,3.5017319770623,0
-863.8606920462412,0.5330504179000854,3.631882803258486,0
-1422.6205526494646,2.4357192516326904,2.3166817346028985,0
-1071.4461986460733,0.035554613918066025,3.534284438136965,0
-1667.4501835030833,2.874361991882324,1.0770511434029322,0
-1291.609162341952,2.0772318840026855,2.9745799899101257,0
-993.6977738307588,1.2408581972122192,4.241383124105632,0
-869.1684116260137,1.3914539813995361,3.705525531790627,0
-1565.866052548709,2.6802332401275635,1.5480539061361924,0
-1302.255529703749,2.0702128410339355,2.8387150795059277,0
-1634.1541635279655,3.0028438568115234,1.232551406044513,0
-878.1306697870984,1.5582479238510132,4.080000116955489,0
-1143.1311081086208,2.301401138305664,3.606272924207151,0
-1439.9832935216796,2.580697774887085,2.1947083994559944,0
-977.6912214501622,0.5359018445014954,3.8680043323431166,0
-905.0723975427832,2.990241527557373,3.822347538727336,0
-1312.8834791482127,1.5696531534194946,2.74048608712852,0
-1367.4962977596676,1.5808337926864624,2.364197556367144,0
-1376.664688559034,2.546100378036499,2.308713400941342,0
-1724.787884051503,2.8389062881469727,0.8205598251207266,0
-1661.9275842000907,2.478238821029663,1.205112563484654,0
-872.4603284135826,0.7384368777275085,3.9436971414461732,0
-1535.8769030361752,2.4498965740203857,1.6485701396968215,0
-886.5023280362311,1.9397552013397217,3.777287914198823,0
-1243.9347126757484,2.857292413711548,3.1047401520609856,0
-1550.6224082380259,2.7487618923187256,1.5749719736538828,0
-967.3971130960674,0.8438630104064941,3.6560117475129665,0
-1295.5044193179558,2.1081268787384033,2.885967087801546,0
-1353.132713964494,3.0948052406311035,2.657593744844198,0
-1682.2106585347028,2.975318670272827,1.0184136156179011,0
-1816.7106767430762,2.997546434402466,0.4728364912269171,0
-1284.2794280578917,1.5918824672698975,3.0343266313243658,0
-878.819168810534,1.4171907901763916,3.879146935194731,0
-1112.137930508496,3.007858991622925,3.5093546540429816,0
-1523.187071471697,2.442267894744873,1.7246980052813887,0
-870.9626506931647,1.6828609704971313,3.663883690461516,0
-826.4699212924876,2.442181348800659,3.5837360074865865,0
-1813.9690039403813,2.9299824237823486,0.5709538910165429,0
-881.5074777270653,0.93025803565979,4.1267723301798105,0
-1053.4532510703625,0.3199367821216583,4.998330689519644,0
-1328.150622483608,2.829946517944336,2.750841604210436,0
-1824.24477223328,3.0521998405456543,0.5136151534540113,0
-1507.748287371431,2.4565985202789307,1.844982569317799,0
-1407.0863737625784,2.6137824058532715,2.1900466461759063,0
-1443.3669817654475,2.1046812534332275,2.237741768988781,0
-1168.567817396133,1.0885449647903442,3.5883604754228147,0
-1062.4669848167855,2.2282698154449463,4.091403600908816,0
-1646.2727057517077,2.860893964767456,1.1026268179621548,0
-962.7447715945399,1.9624933004379272,4.136461024396121,0
-1273.3730777183137,2.019102096557617,3.0958396335691214,0
-983.6499838637295,1.2177739143371582,4.00212828218937,0
-1680.4169024311702,2.809255361557007,0.9902196411963087,0
-1473.8504879540735,2.4309141635894775,2.012543698553927,0
-1199.6992047574604,2.4267594814300537,3.2587903359904886,0
-1849.6509330959643,2.948557138442993,0.4170069956360385,0
-1169.4411888918814,1.665181040763855,3.4298789292294534,0
-1166.5800178161323,1.893921971321106,3.5007379459775985,0
-886.424692933011,1.3263791799545288,4.216205517314375,0
-899.2911452398063,1.1400096416473389,4.257812783624977,0
-970.4260085554379,0.705970048904419,3.8900963600352405,0
-1287.7569235162532,1.7928580045700073,2.956014254637994,0
-1531.8233157354628,2.258291721343994,1.7751108060020488,0
-1585.3998304865347,2.762951135635376,1.4074445114377887,0
-1299.7756681242463,1.3490214347839355,2.976669223178178,0
-1659.8267858390939,3.0533831119537354,1.1093521214695647,0
-1136.9745448560109,2.494434118270874,3.575418624728918,0
-1409.3080073797842,2.6831398010253906,2.3958551932871344,0
-858.6282161067502,1.048385739326477,3.6980390412174167,0
-966.4968996790061,0.06505048274993896,3.725195233388804,0
-1365.1915498550413,2.2588751316070557,2.4086669649370016,0
-866.6624742848132,1.2876179218292236,3.668241317612119,0
-954.6838787994087,1.7239181995391846,3.802576386751607,0
-969.3135387390199,0.27315205335617065,3.765790286697447,0
-740.7574282410786,0.8368364572525024,3.241265409514308,0
-1035.6353222507807,2.7855091094970703,3.918873751461506,0
-1565.663351171732,3.061608076095581,1.459525647368282,0
-1768.5132770440807,2.940410852432251,0.6831135786452797,0
-968.1374697252515,2.8992059230804443,4.613368316031992,0
-965.2363582466992,0.5380018353462219,3.6795760883018374,0
-1681.5762595396932,2.6350245475769043,1.0231684438092634,0
-1151.3209650526392,2.712211847305298,3.360717136566527,0
-1005.6522828828115,1.8314265012741089,4.104710257304832,0
-1322.5050287667088,1.761958122253418,2.6298204160109164,0
-978.7535608474699,1.2862725257873535,3.81146853543818,0
-1095.4936898718943,2.64042329788208,3.4121074907202273,0
-1794.057433976055,3.013031005859375,0.5949011362553575,0
-1082.2796556644337,2.0670533180236816,3.609208498913795,0
-1207.3784594890435,2.878053903579712,3.3167717616818844,0
-1518.9253212800998,2.7922706604003906,1.736020283921389,0
-776.0826375656636,1.9040080308914185,3.7161589102074504,0
-1725.7013821127737,2.986689567565918,0.8557707644470792,0
-872.1309928376684,0.37990957498550415,3.935837110672146,0
-1385.6611195274984,3.086214542388916,2.5017830942943693,0
-1182.9045678299944,1.736801266670227,3.318540091756731,0
-921.2193620612065,2.8861050605773926,3.8461899087857456,0
-1688.4270198180743,2.8127923011779785,0.9468383504101076,0
-1171.5652702131647,1.0889604091644287,3.474085750952363,0
-854.7613849522979,1.661787748336792,3.8843040416575967,0
-961.0663046356002,2.3842482566833496,4.213837261795998,0
-999.0081252215475,2.604321241378784,3.8284124273248015,0
-998.5961021599243,0.7577177882194519,4.252226134445518,0
-1267.9447802023367,1.980576992034912,3.197268874719739,0
-1191.9063901578556,2.2148232460021973,3.3049148108437656,0
-1286.603952876002,1.821273922920227,3.0349381328281013,0
-826.639342841631,2.1914846897125244,3.5520801999012472,0
-873.8635225133817,2.1569674015045166,3.575716036111116,0
-1479.515781540559,2.1248252391815186,2.030991540271789,0
-1070.0214812235172,1.2368903160095215,3.6686370579432697,0
-1328.960412040816,2.207207202911377,2.6249389989161864,0
-1076.1084973905142,1.5970605611801147,3.6991004024725407,0
-898.5790002183418,0.26636919379234314,4.241224377900362,0
-985.0888136887014,0.7845994234085083,4.072302601013798,0
-1162.0443318852333,1.9025161266326904,3.526128567010164,0
-891.306460817804,0.07015868276357651,4.143875699080527,0
-1741.9675744709932,3.0720252990722656,0.8128511058567528,0
-962.9185689573115,1.7439271211624146,3.3997462186403573,0
-885.1181234906668,0.2611670196056366,4.055343827456236,0
-1513.0600640491298,2.560899019241333,1.8191807794291526,0
-864.1964303132356,1.882672905921936,3.8647808202914895,0
-1325.3259002731124,1.9756180047988892,2.6246360887773337,0
-1804.4637748775253,2.8548312187194824,0.5532938515394926,0
-1559.358035984318,3.004659652709961,1.5948322063311935,0
-1616.953614550049,2.372645378112793,1.196316467882134,0
-951.4393971362027,1.4173718690872192,3.5450579676777125,0
-1011.2230942026772,3.0471553802490234,3.6703150752338116,0
-1632.9201607515593,2.67696213722229,1.2348635805398225,0
-1747.2540644249073,2.756065845489502,0.7878633417747914,0
-850.2646030306993,1.5149770975112915,3.458987818725873,0
-1069.149539343156,1.1093251705169678,3.747649760749191,0
-1045.1987108617636,2.3105053901672363,3.5273629091214387,0
-1074.7032754336092,1.6644062995910645,3.582176751650404,0
-1737.6013065637094,2.4791104793548584,0.8111139468336478,0
-1064.1104314953561,0.21258768439292908,3.6832100135670043,0
-1557.261014586168,2.365220069885254,1.5416751741978805,0
-1270.3423288793947,2.462556838989258,3.0139871206320823,0
-1382.1432312509535,2.5781960487365723,2.276761509012431,0
-979.6637833917681,1.9855539798736572,3.7713156508747487,0
