reward,episode_length,successful_landing
-112.15270121087059,116,0
-239.36435599953697,78,0
-326.5311118388968,95,0
-219.03679748688694,98,0
-312.04809902095,81,0
-64.21805729289959,125,0
-263.46992038001247,79,0
-416.8464814409186,130,0
-23.784960062796628,67,0
-131.66625035135343,108,0
-235.29163782550242,63,0
-99.69985677617161,97,0
-102.92851703207322,71,0
-145.26049758822234,69,0
-252.6961229467849,63,0
-316.8648969628165,99,0
-118.72769213899818,91,0
-388.8512756026782,94,0
-270.9307944938058,109,0
-132.20878459536345,114,0
-158.97538513564984,70,0
-165.0120047397183,84,0
-155.22698864411626,63,0
-371.34390518938716,94,0
-268.81267171347304,109,0
-96.71863936528598,117,0
-360.6948173298834,90,0
-362.94827868168267,91,0
-85.36546140643144,59,0
-197.91230429974576,95,0
-202.99552295705854,88,0
-166.9292818055244,103,0
-215.5206266895286,117,0
-252.005098222133,72,0
-103.18606041183037,77,0
-392.3613392405782,69,0
-232.88536967927192,94,0
-170.0421769310309,56,0
-303.0703561135987,103,0
-101.80755554211373,110,0
-123.64369983632531,59,0
-102.39407765926175,80,0
-82.42497723302498,76,0
-426.27328556098524,98,0
-131.54309486171965,83,0
-227.6676634043718,66,0
-163.00379335753706,79,0
-93.98552222673153,76,0
-157.99552361613897,98,0
-138.2975523012778,106,0
-118.26994490464035,81,0
-304.31553719359397,93,0
-114.94498042523479,68,0
-12.499808074262248,117,0
-248.3536884562132,87,0
-154.4918769459313,134,0
-238.09174730631827,92,0
-283.1946600903816,81,0
-69.14586910000847,99,0
-95.09654064692151,62,0
-146.676038344925,91,0
-93.50032057242713,122,0
-251.43875619363888,143,0
-197.74413758552228,71,0
-151.62532133229078,84,0
-380.6319577132161,81,0
-75.27579644724622,68,0
-127.02992838242453,67,0
-442.4453168940799,92,0
-167.1946037176025,96,0
-318.4997471488216,96,0
-97.76141228862686,65,0
-86.42648974919172,63,0
-62.4565401646094,69,0
-346.4294643825858,98,0
-310.1233165686408,114,0
-151.9165565516334,95,0
-183.56679531856105,92,0
-129.17820604630916,72,0
-125.52640515169813,96,0
-90.8374451859337,62,0
-89.80361311397162,71,0
-111.99471580202632,81,0
-209.79713386957474,120,0
-366.15775635901514,101,0
-209.76567604425014,85,0
-129.8606385166562,90,0
-167.31013758563574,86,0
-102.5119905802612,72,0
-116.2349936007549,64,0
-256.6633551762642,115,0
-239.73625862291374,99,0
-113.92280235817707,79,0
-201.0116836639716,115,0
-404.9228562853873,93,0
-81.30993263233071,96,0
-116.31929880800845,84,0
-84.93915532902155,129,0
-91.4939371180829,78,0
-282.89460245381093,101,0
-237.89699030010266,104,0
-110.29364519459007,118,0
-306.88042404651264,112,0
-143.4675952953757,105,0
-40.76396753005427,108,0
-104.00942829632625,63,0
-390.3569269217156,72,0
-134.660290910813,96,0
-253.22075010912508,103,0
-220.13383051149407,75,0
-248.71984238258872,110,0
-321.58094193067006,93,0
-256.82511485715565,77,0
-158.62148735716437,68,0
-370.7379401122372,119,0
-115.45746940766334,109,0
-158.3261279551833,72,0
-120.34443652182128,88,0
-144.8633456543855,96,0
-231.01707391185488,93,0
-149.416748784896,135,0
-135.5124672863343,92,0
-399.71916777567856,83,0
-253.77624744617037,110,0
-104.83010238113474,104,0
-89.99544256831999,68,0
-178.35009741867538,67,0
-97.95151590232187,88,0
-212.21572115054732,65,0
-56.89354439528272,75,0
-265.97257900659395,90,0
-127.68288969306843,58,0
-370.8867335973612,78,0
-329.6034271144464,103,0
-129.22463740044026,59,0
-167.1851451493128,83,0
-193.7435351573775,119,0
-84.63137549369802,76,0
-529.2822651373752,98,0
-299.9223708175,137,0
-198.48031610855514,114,0
-210.7963550469406,96,0
-177.4216443435559,69,0
-172.49337581894576,68,0
-67.49912277171627,85,0
-305.6928397906563,100,0
-552.7330802892837,124,0
-205.9023568204899,75,0
-217.39260852502076,116,0
-259.1656128110234,151,0
-92.03685142097352,67,0
-312.6716391680699,107,0
-136.76799601729078,96,0
-403.73120255498935,86,0
-283.6332772632034,93,0
-87.46996359960553,68,0
-277.7482613785571,102,0
-49.72137566926517,141,0
-194.94106544099316,111,0
-130.21608223609113,64,0
-92.76243623501708,78,0
-104.3575859256078,114,0
-89.10937943918658,66,0
-121.86912709311932,141,0
-82.92022429043342,60,0
-106.59640733128556,98,0
-254.23992604009575,74,0
-122.2747442610472,91,0
-375.52946389991445,99,0
-105.63104013405258,108,0
-138.43520752636763,91,0
-163.59618805582835,80,0
-117.60111121040184,98,0
-437.20459690876015,87,0
-146.80266877292166,102,0
-319.33435504447203,95,0
-306.9034534784745,121,0
-88.78949643199103,127,0
-168.35488635342844,83,0
-193.2661276852735,71,0
-163.15417515103195,61,0
-116.5943286817064,94,0
-260.21611695652274,86,0
-104.99558502357473,91,0
-94.65138496818255,78,0
-111.42698935478631,75,0
-89.7604089354037,59,0
-45.125492639552476,127,0
-187.21523778589668,81,0
-107.97913263224555,67,0
-103.86564581261413,98,0
-123.17751801076336,92,0
-137.61536412848136,105,0
-122.27604568790596,69,0
-132.06100374885415,68,0
-104.18565496994103,90,0
-289.9945222485302,92,0
-348.424127647742,95,0
-87.5212892383091,88,0
-237.89004381253486,113,0
-226.6486920995877,123,0
-273.8415893134588,140,0
-373.8123499631149,95,0
-150.83739747372263,75,0
-118.91303745879041,66,0
-157.59790717768274,108,0
-119.54374147909255,66,0
-107.18560227420176,84,0
-189.63272331712164,123,0
-80.83130240851423,58,0
-200.1677795462848,118,0
-124.55406483988962,103,0
-367.12983458655265,79,0
-101.66452674676323,80,0
-234.2975971124513,109,0
-327.23971283440096,99,0
-158.60169359760064,59,0
-413.7465204623327,114,0
-248.994939627441,73,0
-314.37631779919866,115,0
-213.83177399764588,100,0
-287.1430969466925,100,0
-97.71335970003102,82,0
-35.8315613757151,75,0
-382.4469876487847,90,0
-100.39810957698027,111,0
-76.01026943666294,59,0
-121.29093790091352,136,0
-74.91237030614909,72,0
-134.47478049859393,61,0
-117.15375825171196,85,0
-110.85506413306284,104,0
-350.99818660181995,119,0
-224.90708729833258,113,0
-251.09441824370145,89,0
-347.52342925786166,98,0
-12.514949238593616,104,0
-297.54004715410963,78,0
-113.32687577254059,78,0
-373.97735816667006,100,0
-102.57113169323907,96,0
-87.82804656678012,63,0
-256.30077032912254,126,0
-421.87525673542217,100,0
-85.37264338877063,69,0
-345.7887666747084,100,0
-77.15448036985289,75,0
-126.87446778187291,116,0
-258.8369246975724,94,0
-91.48833720451914,81,0
-115.80211941648722,114,0
4.704585087364904,96,0
-102.25369050157528,93,0
-102.46525328017267,113,0
-140.4991026797413,65,0
-92.6172655759041,74,0
-127.05610595072254,84,0
-251.27474837438092,73,0
-412.22712659317176,94,0
-325.20126272734296,93,0
-58.632280927786255,67,0
-373.0025203848547,96,0
-150.64702959640846,63,0
-77.14449171166218,68,0
-73.17896119394601,76,0
-89.37087160022972,67,0
-111.26304037790253,76,0
-272.55897331456015,97,0
-69.93705956620934,79,0
-65.32038609284024,73,0
-65.3119607499135,76,0
-401.33307643908654,125,0
-298.98876347008877,117,0
-156.64274944682472,90,0
-124.47857614249939,135,0
-104.29405893205667,100,0
-265.7930080202666,102,0
-262.965118276586,76,0
-98.4799023045205,76,0
-169.39856208746934,75,0
-294.4414888690994,89,0
-129.61350673640783,86,0
-256.13193870214724,99,0
-116.73956768209504,81,0
-147.63663314578187,118,0
-120.64348877213939,110,0
-235.63414614864274,76,0
-436.02814845335666,95,0
-186.52068927126425,95,0
-331.3266571051165,84,0
-148.60576272998327,97,0
-91.89495464758856,124,0
-170.75469278324417,105,0
-113.53501062670566,90,0
-268.46424516306826,102,0
-146.91812105412606,77,0
-71.4971778472527,96,0
-262.93243895985194,124,0
-393.0817835945845,98,0
-441.8925236219965,119,0
-347.49554749410913,108,0
-62.3967041025106,68,0
-124.11074857676219,100,0
-2.395638250910224,94,0
-83.28610820377381,67,0
-116.77586978428702,106,0
-469.4087623634497,121,0
-102.67364203101813,102,0
-201.39878471321452,73,0
-201.96892280280804,79,0
-450.675187707948,97,0
-148.29525467361805,75,0
-287.924945242761,90,0
-81.74107826422399,91,0
-195.74004897405007,69,0
-413.6450701206297,109,0
-116.30785600793102,89,0
-80.7505360857337,59,0
-355.7697339613775,86,0
-96.75371979547762,95,0
-113.83392756805725,65,0
-204.44033566642537,79,0
-388.93736257489974,133,0
-278.8345042943804,96,0
-166.53709779837712,106,0
-324.67876836487693,102,0
-281.5623759643029,98,0
-220.9162189875163,63,0
-86.98152040039652,60,0
-235.1980639753714,93,0
-147.3531775808206,99,0
-58.79555503046234,67,0
-112.42818898052482,74,0
-234.07109635047513,101,0
-94.48651537835156,110,0
-351.26984435500106,109,0
-180.59172057429822,65,0
-202.98960243852792,81,0
-108.20784602355171,86,0
-129.26110322960932,70,0
-312.28996483244896,116,0
-109.23360669720685,91,0
-50.02911728799184,69,0
-162.88183608863534,93,0
-228.13104634193166,122,0
-119.13101886528176,110,0
-192.71985809181967,72,0
-198.93604406192767,83,0
-138.75940482899313,85,0
-346.282324544003,106,0
-89.62563541441777,71,0
-234.26376611384796,82,0
-182.64193256047932,59,0
-159.09545895614372,95,0
-161.3923796446265,91,0
-115.06820171650301,88,0
-121.60376078207315,75,0
-140.4275005727975,96,0
-96.46942795988488,58,0
-208.50423882319768,111,0
-326.78869354682377,109,0
-337.8176060779822,152,0
-224.0902608706209,95,0
-54.6255480402541,81,0
-100.7290961608648,82,0
-252.6108735119859,85,0
-331.63705581784023,77,0
-108.3801795436846,104,0
-147.83767780023328,57,0
-358.05676276030476,98,0
-102.44100653302493,106,0
-144.36319800699502,114,0
-109.7790571224952,94,0
9.317414346819547,76,0
-148.29721919867225,112,0
-251.01234611438707,107,0
-44.908392649018054,112,0
-84.2363036459191,80,0
-20.798340311650378,118,0
-171.83460251774102,93,0
-64.97544745817243,93,0
-106.01127255164579,80,0
-141.43739413503647,109,0
-321.9564352566331,82,0
-157.89468171486644,125,0
-80.02788246976854,71,0
-97.4548354499659,77,0
-109.68509461555492,87,0
-223.74395943476028,110,0
-395.74168260729755,112,0
-113.22999888001232,92,0
-127.81348216309141,77,0
-346.39913373412753,114,0
-91.62141676260269,64,0
-340.702045959285,89,0
-180.62666981999433,86,0
-509.1913399617216,145,0
-87.64430695336009,89,0
-355.99038198674464,98,0
-148.0709801616291,95,0
-262.1597403064128,79,0
-254.78553004059756,102,0
-197.32278408368217,81,0
-169.05506764418539,88,0
-203.49971987139014,66,0
-213.8029000993266,132,0
-194.114841971261,93,0
-81.36775191146018,73,0
-99.9526943856106,97,0
-61.46814510403115,62,0
-228.5910752964797,102,0
-189.50555772448155,112,0
-3.8357232060182014,137,0
-125.65955439288221,88,0
-124.44347191907357,71,0
-92.02390661656355,75,0
-366.0611072289367,99,0
18.165972303310966,92,0
-354.0235980161624,98,0
-96.79795702757467,62,0
-184.7436309586837,90,0
-296.53152451117637,112,0
-143.29752973133031,63,0
-298.76693829528756,91,0
-369.12065158832024,101,0
-382.9213976073265,71,0
-344.5839594387039,105,0
-148.31960037539443,110,0
-122.4926863890743,81,0
-107.5202467409697,107,0
-155.0903281708881,65,0
-216.64533067093652,62,0
-137.3914267572522,91,0
-78.03785434218689,91,0
-102.43071252411865,76,0
-190.53428030388267,112,0
-159.694839826374,94,0
-130.31755122091678,104,0
-13.653912397902147,123,0
-109.78075145028666,99,0
-184.31758726327604,110,0
-168.2590320336404,71,0
-221.1840726248878,91,0
-165.35028376538574,72,0
-266.1411178858835,115,0
-121.88384797747034,81,0
-165.19724766318637,117,0
-131.5075133577659,94,0
-58.358746498170625,64,0
-151.76973098938998,131,0
-182.59112825501427,69,0
4.588339860354424,150,0
-310.4446359266318,93,0
-111.77079872683035,69,0
-85.65473541163954,63,0
-373.00331444440764,125,0
17.41518369587301,83,0
-65.98635773311528,96,0
-116.30309591372452,86,0
-85.85580895347319,91,0
-73.16454678968034,72,0
-86.58505727879387,58,0
-304.1370589622536,105,0
-249.8361547741093,73,0
-359.32920316608784,75,0
-80.02907713575506,99,0
-68.30818455381589,62,0
-120.87324217810615,91,0
-250.36483682719472,97,0
-127.78905053574394,59,0
-135.39818613773105,125,0
-131.82864890445148,128,0
-192.8283688365275,142,0
-386.75106836343497,92,0
-158.93474241517677,59,0
-179.93295256516814,81,0
-77.03608357380135,100,0
-74.33393783464672,107,0
-250.53131399495368,79,0
-141.02077071676314,91,0
-438.9108194929497,103,0
-365.3914122420664,83,0
-87.33320323406156,80,0
-127.7250430715925,84,0
-248.22711162457927,97,0
-139.4925989598421,104,0
-202.6915375092605,72,0
-93.95489220143997,72,0
-396.22239226696865,116,0
-120.45183377426748,100,0
-105.75210041128716,68,0
-149.53047120021103,87,0
-186.49302553830853,108,0
-127.87549858779124,90,0
-141.49928277392948,103,0
-77.53981957795982,117,0
-105.6759330075466,95,0
-78.10033435047988,65,0
-185.89729197803882,148,0
-2.1063439375976145,123,0
